,Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality,Postal_code
356,356,																																								3 BHK Apartment																									            	,1,Unfurnished,Bachelors/Family,2200 sqft,"           	 			           	 			50,000           	 		"," 									 								 				             				             			             				         			            	Aparna Aura,  			            	 	                	 	                		 					            							          							         	Jubilee Hills 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500033
357,357,																																								1 BHK Apartment																									            	,East,Furnished,Bachelors/Family,read more,"           	 			           	 			21,000           	 		", 									,
358,358,																																								3 BHK Builder Floor																									            	,1,Semi-Furnished,Bachelors/Family,3011 sqft,"           	 			           	 			50,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Banjara Hills, NH  ",500034
359,359,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,1950 sqft,"           	 			           	 			42,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Begumpet 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	,No code
360,360,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,2100 sqft,"           	 			           	 			40,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Punjagutta, NH  ",No code
361,361,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1246 sqft,"           	 			           	 			28,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Manikonda, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",No code
362,362,																																								1 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,			                       									            								                							                	Near by Yousufguda Metro Station.							                				                        			                       ,"           	 			           	 			7,900           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Yousufguda, NH  ",No code
363,363,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Bachelors/Family,2200 sqft,"           	 			           	 			40,000           	 		"," 									 								 				             				             			             				         			            	Lanco Hills,  			            	 	                	 	                		 					            							          							         	Manikonda, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500089
364,364,																																								1 BHK Apartment																									            	,1,Furnished,Bachelors/Family,read more,"           	 			           	 			22,000           	 		", 									,
365,365,																																								3 BHK Apartment																									            	,1,Unfurnished,Bachelors,1600 sqft,"           	 			           	 			38,000           	 		"," 									 								 				             				             			             				         			            	Aparna Serene Park,  			            	 	                	 	                		 					            							          							         	Kondapur 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500084
366,366,																																								1 BHK Apartment																									            	,1,Unfurnished,Bachelors/Family,,"           	 			           	 			9,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Vidyanagar,No code
367,367,																																								3 BHK Apartment																									            	,2,Furnished,Bachelors,2600 sqft,"           	 			           	 			50,000           	 		"," 									 								 				             				             			             				         			            	Shanthinikethan,  			            	 	                	 	                		 					            							          							         	Whitefields 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500081
368,368,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1000 sqft,"           	 			           	 			12,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Sanjeeva Reddy Nagar, NH  ",500038
369,369,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Bachelors,1800 sqft,"           	 			           	 			28,000           	 		"," 									 								 				             				             			             				         			            	Aditya Imperial Heights,  			            	 	                	 	                		 					            							          							         	Hafeezpet, NH  ",500084
370,370,																																								2 BHK Builder Floor																									            	,East,Semi-Furnished,Bachelors/Family,1100 sqft,"           	 			           	 			12,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Brindavan Colony-Toli Chowki 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	,500008
371,371,																																								3 BHK Apartment																									            	,2,Furnished,Bachelors/Family,1685 sqft,"           	 			           	 			37,000           	 		"," 									 								 				             				             			             				         			            	My Homes Jewel,  			            	 	                	 	                		 					            							          							         	Miyapur, NH  ",500049
372,372,																																								3 BHK Apartment																									            	,2,Unfurnished,Bachelors/Family,1600 sqft,"           	 			           	 			28,000           	 		"," 									 								 				             				             			             				         			            	PBEL City,  			            	 	                	 	                		 					            							          							         	Appa junction 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500086
373,373,																																								3 BHK Apartment																									            	,2,Furnished,Bachelors,1600 sqft,"           	 			           	 			45,000           	 		"," 									 								 				             				             			             				         			            	Aparna Serene Park,  			            	 	                	 	                		 					            							          							         	Kondapur 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500084
374,374,																																								2 BHK Apartment																									            	,East,Semi-Furnished,Family,1350 sqft,"           	 			           	 			30,000           	 		"," 									 								 				             				             			             				         			            	Western Exotica Project ,  			            	 	                	 	                		 					            							          							         	Kothaguda 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500084
375,375,																																								3 BHK Apartment																									            	,1,Furnished,Bachelors/Family,1520 sqft,"           	 			           	 			33,000           	 		"," 									 								 				             				             			             				         			            	Tulip Le Park,  			            	 	                	 	                		 					            							          							         	Kondapur 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500084
376,376,																																								4 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,1500 sqft,"           	 			           	 			35,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Brindavan Colony-Toli Chowki 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	,500008
377,377,																																								3 BHK Apartment																									            	,2,Unfurnished,Bachelors/Family,1580 sqft,"           	 			           	 			14,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           			        				  			        				 	Hyderabad 			        				  						         	         		    		 	           			 						 							 								 					             					            	,No code
378,378,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Family,1600 sqft,"           	 			           	 			25,000           	 		"," 									 								 				             				             			             				         			            	Vishnu Nivas,  			            	 	                	 	                		 					            							          							         	Ameerpet, NH  ",No code
379,379,																																								3 BHK Apartment																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,1550 sqft,"           	 			           	 			12,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Attapur 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	,No code
380,380,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors,1075 sqft,"           	 			           	 			6,500           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Almasguda 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	,No code
381,381,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1800 sqft,"           	 			           	 			40,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Gachibowli, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",No code
382,382,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1890 sqft,"           	 			           	 			43,000           	 		"," 									 								 				             				             			             				         			            	Vajras Jasmine County,  			            	 	                	 	                		 					            							          							         	Gachibowli, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500032
383,383,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1275 sqft,"           	 			           	 			21,000           	 		"," 									 								 				             				             			             				         			            	NCL Sindhu,  			            	 	                	 	                		 					            							          							         	Kompally 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500067
384,384,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Family,2075 sqft,"           	 			           	 			40,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Gachibowli, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",No code
385,385,																																								3 BHK Apartment																									            	,North,Semi-Furnished,Bachelors/Family,1715 sqft,"           	 			           	 			27,500           	 		"," 									 								 				             				             			             				         			            	SMR Vinay Harmony County,  			            	 	                	 	                		 					            							          							         	Appa junction 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500093
386,386,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1760 sqft,"           	 			           	 			45,000           	 		"," 									 								 				             				             			             				         			            	Jains Ravi Gayathri Heights,  			            	 	                	 	                		 					            							          							         	Hitech City 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500081
387,387,																																								2 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,1130 sqft,"           	 			           	 			17,500           	 		"," 									 								 				             				             			             				         			            	SV Brindavanam,  			            	 	                	 	                		 					            							          							         	Boduppal, NH ",500092
388,388,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1375 sqft,"           	 			           	 			20,000           	 		"," 									 								 				             				             			             				         			            	Quadri Happy Homes Paradise,  			            	 	                	 	                		 					            							          							         	Amberpet 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500013
389,389,																																								3 BHK Builder Floor																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1400 sqft,"           	 			           	 			20,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Chandanagar, NH  ",500050
390,390,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,100 sqyrd,"           	 			           	 			12,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	SBI Colony-Kothapet 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	,500035
391,391,2 BHK Apartment,1,Unfurnished,Bachelors/Family,700 sqft,"13,000", New Nallakunta ,No code
392,392,2 BHK Apartment,1,Furnished,Bachelors/Family,1240 sqft,"32,000"," Pranavas Lotus Park, Police Colony-Kondapur ",500084
393,393,2 BHK Apartment,1,Unfurnished,Bachelors/Family,6000 sqft,"17,000"," Chandanagar, NH ",500050
394,394,2 BHK Apartment,1,Semi-Furnished,Bachelors,1150 sqft,"16,000"," SVH Padmavathi Icon, Miyapur, NH ",500049
395,395,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1700 sqft,"28,000"," Banjara Hills, NH ",500034
396,396,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1100 sqft,"16,000"," Deepthisri Nagar, NH ",500050
397,397,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1278 sqft,"22,000"," PBEL City, Appa junction ",500086
398,398,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1350 sqft,"15,000", West Marredpally ,No code
399,399,2 BHK Apartment,West,Semi-Furnished,Family,1130 sqft,"20,000"," SV Brindavanam, Boduppal, NH ",500092
400,400,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2400 sqft,"21,000", Bowenpally ,No code
401,401,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1500 sqft,"25,000"," Manjeera Majestic Homes, Kukatpally, NH ",500085
402,402,2 BHK Apartment,West,Semi-Furnished,Bachelors/Family,1270 sqft,"30,000"," Vertex Panache, Gachibowli, Outer Ring Road ",500075
403,403,2 BHK Apartment,North - West,Semi-Furnished,Bachelors/Family,1000 sqft,"13,000"," Habsiguda, NH ",No code
404,404,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1350 sqft,"20,000", Gandhi Nagar-Boiguda ,500003
405,405,2 BHK Apartment,North,Unfurnished,Bachelors/Family,1100 sqft,"15,000", Mehdipatnam ,No code
406,406,2 BHK Apartment,2,Furnished,Bachelors,1285 sqft,"27,000"," Sameera Sisiram, Kondapur ",500084
407,407,3 BHK Apartment,2,Semi-Furnished,Family,1650 sqft,"30,000", Kondapur ,No code
408,408,3 BHK Apartment,2,Furnished,Bachelors/Family,1549 sqft,"35,000"," Emami Swanlake, Kukatpally, NH ",500072
409,409,2 BHK Apartment,East,Furnished,Bachelors,1100 sqft,"8,000"," Beeramguda, Ramachandra Puram, NH ",502032
410,410,2 BHK Apartment,1,Unfurnished,Bachelors,1100 sqft,"12,000", Attapur ,No code
411,411,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1935 sqft,"27,000"," SMR Vinay Fountainhead, Miyapur, NH ",500049
412,412,3 BHK Apartment,North,Semi-Furnished,Bachelors/Family,2100 sqft,"18,000"," Manasarovar Heights, Teachers Colony-Trimulgherry ",No code
413,413,3 BHK Apartment,1,Semi-Furnished,Family,1600 sqft,"23,000"," Aditya Nagar, Hafeezpet ",No code
414,414,2 BHK Apartment,2,Unfurnished,Family,1200 sqft,"10,000"," Raaaps Raaganjali, Nalanda Nagar, Upparpally ",500048
415,415,2 BHK Apartment,2,Semi-Furnished,Family,1358 sqft,"22,000"," Lakdikapul, NH ",500004
416,416,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1605 sqft,"20,000"," Manikonda, Outer Ring Road ",No code
417,417,3 BHK Apartment,1,Semi-Furnished,Bachelors,1500 sqft,"10,000"," Mye Villa, Mallapur ",500051
418,418,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1500 sqft,"18,500"," Chandanagar, NH ",500050
419,419,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1685 sqft,"22,000"," GK Pride, Yapral ",500094
420,420,3 BHK Apartment,2,Unfurnished,Bachelors/Family,2000 sqft,"40,000"," Vishnu Saphire, Kondapur ",500084
421,421,3 BHK Apartment,1,Semi-Furnished,Family,1380 sqft,"22,000"," Malaysian Township, Kukatpally Housing Board Colony, NH ",500072
422,422,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1550 sqft,"38,000"," Financial District, Nanakram Guda ",500032
423,423,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1145 sqft,"17,500"," Miyapur, NH ",500049
424,424,3 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1735 sqft,"46,000"," Gachibowli, Outer Ring Road ",No code
425,425,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,read more,"14,500", Bandari,11229
426,426,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1580 sqft,"25,000"," Hyder Nagar, NH ",500090
427,427,2 BHK Apartment,2,Semi-Furnished,Bachelors,1500 sqft,"12,000", Bandlaguda Jagir ,No code
428,428,1 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,read more,"8,000", Moghalpura,500002
429,429,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1908 sqft,"36,000"," SMR Vinay Iconia, Kondapur ",500084
430,430,2 BHK Apartment,2,Furnished,Bachelors/Family,1275 sqft,"22,000"," NCL Sindhu, Satyam Enclave, Komapally, NH ",500067
431,431,3 BHK Apartment,3,Unfurnished,Bachelors,1900 sqft,"40,000"," Aditya Empress Towers, Shaikpet ",500008
432,432,3 BHK Apartment,3,Unfurnished,Bachelors,1800 sqft,"30,000"," Concrete Sarigama, Manikonda, Outer Ring Road ",500089
433,433,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1850 sqft,"21,500"," Mohan Nagar, Kothapet ",500035
434,434,3 BHK Apartment,3,Semi-Furnished,Bachelors,1990 sqft,"40,000"," Aditya Empress Towers, Shaikpet ",500008
435,435,3 BHK Apartment,2,Unfurnished,Bachelors,,"25,000", Friends,74035
436,436,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,"25,000"," DD Colony, Amberpet ",No code
437,437,2 BHK Builder Floor,2,Unfurnished,Family,1150 sqft,"15,000", Bandari Layout ,500090
438,438,2 BHK Apartment,East,Semi-Furnished,Family,1045 sqft,"16,000"," Moosapet, NH ",500072
439,439,2 BHK Apartment,North - East,Semi-Furnished,Bachelors/Family,1020 sqft,"15,000", New Nallakunta ,No code
440,440,3 BHK Apartment,1,Semi-Furnished,Bachelors,1834 sqft,"38,000"," My Home Avatar, Narsingi, Outer Ring Road ",500089
441,441,4 BHK Apartment,North - East,Semi-Furnished,Bachelors/Family,3150 sqft,"50,000"," DD Colony, Amberpet ",No code
442,442,3 BHK Builder Floor,1,Unfurnished,Bachelors,1800 sqft,"30,000", Mehdipatnam ,No code
443,443,2 BHK Builder Floor,1,Semi-Furnished,Bachelors,1350 sqft,"18,000", Toli Chowki ,500008
444,444,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1800 sqft,"30,000"," Aditya Imperial Heights, Hafeezpet, NH ",500084
445,445,3 BHK Apartment,2,Unfurnished,Bachelors,1200 sqft,"13,000"," Bachupally, Outer Ring Road ",No code
446,446,1 BHK Apartment,North - East,Furnished,Bachelors/Family,read more,"18,000"," Habsiguda, NH ",No code
447,447,1 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,,"5,000", Narapally,561207
448,448,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1475 sqft,"18,000"," Pragathi Nagar, Kukatpally ",No code
449,449,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1000 sqft,"10,000", Kushaiguda ,500062
450,450,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,2100 sqft,"18,000"," Manasarovar Heights, Trimulgherry ",No code
451,451,																																								2 BHK Apartment																									            	,1,Unfurnished,Bachelors,1000 sqft,"           	 			           	 			15,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Miyapur, NH  ",500049
452,452,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors/Family,1000 sqft,"           	 			           	 			24,000           	 		"," 									 								 				             				             			             				         			            	Sai Balaji Shelters,  			            	 	                	 	                		 					            							          							         	Kondapur 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500084
453,453,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors,1125 sqft,"           	 			           	 			13,000           	 		"," 									 								 				             				             			             				         			            	Rock Cliff,  			            	 	                	 	                		 					            							          							         	Appa junction 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500075
454,454,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors/Family,1000 sqft,"           	 			           	 			18,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	New Nallakunta 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	,No code
455,455,																																								1 BHK Apartment																									            	,1,Furnished,Bachelors/Family,,"           	 			           	 			15,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Habsiguda, NH ",No code
456,456,																																								2 BHK Apartment																									            	,1,Unfurnished,Bachelors/Family,1500 sqft,"           	 			           	 			17,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Pupallaguda, Behind Punjabi Dh 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	",500089
457,457,																																								2 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,1286 sqft,"           	 			           	 			25,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Gayatri Nagar, Medbowli, Inner Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",No code
458,458,																																								3 BHK Builder Floor																									            	,East,Semi-Furnished,Bachelors/Family,1750 sqft,"           	 			           	 			32,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Madhapur 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	,No code
459,459,																																								2 BHK Builder Floor																									            	,3,Unfurnished,Bachelors,1250 sqft,"           	 			           	 			17,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Hyder Nagar, NH  ",500090
460,460,																																								3 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1500 sqft,"           	 			           	 			22,500           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Vivekananda Nagar, Kukatpally, NH  ",500072
461,461,																																								3 BHK Apartment																									            	,1,Unfurnished,Bachelors,			                       									            								                							                	East Facing Property							                				                        			                       ,"           	 			           	 			15,000           	 		", 									,
462,462,																																								3 BHK Apartment																									            	,3,Unfurnished,Bachelors,1500 sqft,"           	 			           	 			14,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Nizampet 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	,No code
463,463,																																								3 BHK Apartment																									            	,2,Furnished,Bachelors/Family,2700 sqft,"           	 			           	 			30,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Kondapur 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	,No code
464,464,																																								1 BHK Builder Floor																									            	,South,Unfurnished,Bachelors,,"           	 			           	 			7,000           	 		", 									,
465,465,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1000 sqft,"           	 			           	 			20,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Kukatpally, NH  ",500090
466,466,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,1400 sqft,"           	 			           	 			18,000           	 		"," 									 								 				             				             			             				         			            	Vineyard Mist,  			            	 	                	 	                		 					            							          							         	Sainikpuri 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500094
467,467,																																								2 BHK Builder Floor																									            	,North,Furnished,Bachelors/Family,1400 sqft,"           	 			           	 			22,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Old Malakpet, NH  ",500036
468,468,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Family,2000 sqft,"           	 			           	 			26,000           	 		"," 									 								 				             				             			             				         			            	Aliens Elite,  			            	 	                	 	                		 					            							          							         	Miyapur, NH  ",500049
469,469,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,1500 sqft,"           	 			           	 			15,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Nizampet 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	,No code
470,470,																																								1 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,,"           	 			           	 			9,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Salivahana Colony,No code
471,471,																																								3 BHK Apartment																									            	,3,Furnished,Bachelors/Family,1440 sqft,"           	 			           	 			14,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Nacharam 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	,No code
472,472,																																								2 BHK Apartment																									            	,South,Semi-Furnished,Bachelors/Family,1280 sqft,"           	 			           	 			22,000           	 		"," 									 								 				             				             			             				         			            	PBEL City,  			            	 	                	 	                		 					            							          							         	Appa junction 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500086
473,473,																																								2 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1236 sqft,"           	 			           	 			15,000           	 		"," 									 								 				             				             			             				         			            	Spectra Metro Heights,  			            	 	                	 	                		 					            							          							         	Nagole 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500068
474,474,																																								2 BHK Apartment																									            	,2,Furnished,Bachelors/Family,1250 sqft,"           	 			           	 			25,000           	 		"," 									 								 				             				             			             				         			            	Elite Trehan Towers,  			            	 	                	 	                		 					            							          							         	Habsiguda, NH ",No code
475,475,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1300 sqft,"           	 			           	 			22,000           	 		"," 									 								 				             				             			             				         			            	Aparna Hill Park Avenues,  			            	 	                	 	                		 					            							          							         	Chandanagar, NH  ",500050
476,476,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,940 sqft,"           	 			           	 			8,000           	 		"," 									 								 				             				             			             				         			            	Madineni Madhavan Towers,  			            	 	                	 	                		 					            							          							         	Pathancheru 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",No code
477,477,																																								2 BHK Apartment																									            	,West,Semi-Furnished,Bachelors,124 sqft,"           	 			           	 			9,500           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Huda Complex, Ram Bagh Colony 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",No code
478,478,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Family,1220 sqft,"           	 			           	 			16,000           	 		"," 									 								 				             				             			             				         			            	Shubham Greens,  			            	 	                	 	                		 					            							          							         	Alkapur Township, Manikonda, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500075
479,479,																																								2 BHK Apartment																									            	,East,Semi-Furnished,Bachelors/Family,1314 sqft,"           	 			           	 			32,000           	 		"," 									 								 				             				             			             				         			            	My Home Avatar,  			            	 	                	 	                		 					            							          							         	Narsingi, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500089
480,480,																																								2 BHK Apartment																									            	,2,Furnished,Bachelors,1080 sqft,"           	 			           	 			18,000           	 		"," 									 								 				             				             			             				         			            	Sai Keerthi Estates,  			            	 	                	 	                		 					            							          							         	Chandanagar, NH  ",500050
481,481,2 BHK Apartment,1,Unfurnished,Bachelors,1265 sqft,"16,000"," Aparna Kanopy Tulip, Kompally ",501401
482,482,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1585 sqft,"32,500"," Gem Ascentia, Hitex Road, Shilpa Layout ",500084
483,483,3 BHK Apartment,2,Semi-Furnished,Bachelors,1731 sqft,"27,000"," Poe Tree, Narsingi, Outer Ring Road ",500075
484,484,3 BHK Apartment,1,Unfurnished,Bachelors,1825 sqft,"35,000"," Aparna HillPark Lake Breeze, Chandanagar, NH ",500050
485,485,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1560 sqft,"32,000"," Xeno Pearl, Kondapur ",500084
486,486,2 BHK Apartment,West,Furnished,Family,1200 sqft,"18,000"," Girijas Marvel, Chandanagar, NH ",500133
487,487,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1760 sqft,"20,000"," Sri Sai Balaji Residency, Tellapur, Outer Ring Road ",500019
488,488,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1500 sqft,"20,000", Bowenpally ,No code
489,489,3 BHK Apartment,2,Semi-Furnished,Bachelors,East Facing Property,"11,000", Janapriya Lakefront,500094
490,490,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1400 sqft,"23,000"," Floatilla, Neknampur, Manikonda ",500075
491,491,3 BHK Apartment,2,Unfurnished,Bachelors,1500 sqft,"18,000"," Sai Akhil Habitat, Nizampet ",500090
492,492,3 BHK Apartment,2,Semi-Furnished,Bachelors,1800 sqft,"40,000"," ACE Atlantis, Khaja Guda, Outer Ring Road ",500075
493,493,2 BHK Apartment,2,Unfurnished,Bachelors,1000 sqft,"12,000", Bandari Layout ,500090
494,494,2 BHK Apartment,1,Furnished,Bachelors,,"21,000"," Alekhya Towers, LB Nagar, NH ",500079
495,495,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2348 sqft,"45,000", Kondapur ,No code
496,496,3 BHK Apartment,1,Semi-Furnished,Bachelors,1135 sqft,"17,000"," Aparna Kanopy Tulip, Gundlapochampally, Outer Ring Road ",501401
497,497,3 BHK Service Apartment,Immediately,Semi-Furnished,Bachelors/Family,3000 sqft,"35,000", Rai Durg ,No code
498,498,3 BHK Apartment,,Bachelors/Family,2,1100 sqft,"14,000", Hyderabad ,No code
499,499,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1814 sqft,"38,000"," Narsingi, Outer Ring Road ",No code
500,500,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1600 sqft,"15,000"," Bachupally, Outer Ring Road ",No code
501,501,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1400 sqft,"18,000"," Aparna Kanopy Tulip, Kompally ",501401
502,502,3 BHK Apartment,2,Furnished,Bachelors/Family,1600 sqft,"28,000"," Panchavati Colony, Peerzadiguda, NH ",500089
503,503,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1050 sqft,"13,000", Attapur ,No code
504,504,1 BHK Apartment,2,Semi-Furnished,Bachelors/Family,,"10,500", Madhava Nagar Colony,500049
