,Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality,Postal_code
338,338,																																								3 BHK Apartment																									            	,1,Furnished,Bachelors/Family,1198 sqft,"           	 			           	 			40,000           	 		"," 									 								 				             				             			             				         			            	Mantri Celestia,  			            	 	                	 	                		 					            							          							         	Gachibowli, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500032
339,339,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Bachelors/Family,,"           	 			           	 			26,000           	 		", 									,
340,340,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Bachelors/Family,1870 sqft,"           	 			           	 			40,000           	 		"," 									 								 				             				             			             				         			            	Vajras Jasmine County,  			            	 	                	 	                		 					            							          							         	Gachibowli, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500032
341,341,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1100 sqft,"           	 			           	 			20,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Kondapur 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	,No code
342,342,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Bachelors/Family,1800 sqft,"           	 			           	 			25,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Kondapur 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	,No code
343,343,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Family,1628 sqft,"           	 			           	 			26,000           	 		"," 									 								 				             				             			             				         			            	PBEL City,  			            	 	                	 	                		 					            							          							         	Appa junction 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500086
344,344,																																								3 BHK Apartment																									            	,3,Unfurnished,Bachelors/Family,read more,"           	 			           	 			43,000           	 		", 									 								 				             				             			             				         			            	Rajapushpa Atria,500075
345,345,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,read more,"           	 			           	 			32,000           	 		", 									,
346,346,																																								1 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,			                       									            								                							                	East Facing Property							                				                        			                       ,"           	 			           	 			10,000           	 		", 									 								 				             				             			             				         			            	Kondapur,No code
347,347,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors,read more,"           	 			           	 			18,000           	 		", 									,
348,348,																																								3 BHK Apartment																									            	,1,Unfurnished,Bachelors,2160 sqft,"           	 			           	 			40,000           	 		"," 									 								 				             				             			             				         			            	My Home Vihanga,  			            	 	                	 	                		 					            							          							         	Gachibowli, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500032
349,349,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Family,1595 sqft,"           	 			           	 			37,000           	 		"," 									 								 				             				             			             				         			            	Aparna Serene Park,  			            	 	                	 	                		 					            							          							         	Kondapur 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	",500084
