,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
841,3 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1700 sqft,"16,000"," Pragathi Nagar, Kukatpally "
842,1 BHK Apartment,1,Unfurnished,Bachelors/Family,East Facing Property,"10,000", Moula Ali Hill
843,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1950 sqft,"40,000"," Banjara Hills, NH "
844,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,"15,000"," Mayuri Nagar, Miyapur "
845,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1050 sqft,"13,000", Attapur 
846,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1000 sqft,"10,000"," Nagarjuna Nagar, Secunderabad "
847,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1600 sqft,"25,000"," Yella Reddy Guda, NH "
848,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1150 sqft,"13,500"," Upparpally, Hyderabad Expressway "
849,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1384 sqft,"35,000"," Khaja Guda, Outer Ring Road "
850,1 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,NaN,"7,500"," Malakpet, NH "
851,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,2400 sqft,"16,000", Osman Nagar 
852,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,900 sqft,"11,000", Namalagundu 
853,3 BHK Apartment,From Dec '19,Semi-Furnished,Bachelors/Family,1600 sqft,"28,000", Appa junction 
854,3 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1260 sqft,"15,000", Puppalaguda 
855,2 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1300 sqft,"13,500", Gandhinagar 
856,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2120 sqft,"45,000", Kondapur 
857,3 BHK Apartment,West,Semi-Furnished,Bachelors/Family,1834 sqft,"40,000"," My Home Avatar, Narsingi, Outer Ring Road "
858,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,850 sqft,"12,500"," Hanumasai Nagar, Uppal "
859,2 BHK Apartment,1,Semi-Furnished,Bachelors,East Facing Property,"14,000", Pragathi Nagar
860,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1000 sqft,"16,000"," Madinaguda, Hafeezpet, NH "
861,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1450 sqft,"30,000"," Manikonda, Outer Ring Road "
862,2 BHK Apartment,2,Unfurnished,Bachelors,1000 sqft,"28,000"," Ameerpet, NH "
863,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1725 sqft,"30,000"," Basheer Bagh, NH "
864,2 BHK Builder Floor,1,Semi-Furnished,Family,1100 sqft,"18,000"," IDPl Employees Colony, Hafeezpet "
865,2 BHK Builder Floor,South,Semi-Furnished,Bachelors/Family,900 sqft,"14,000", Sri Nagar Colony 
866,2 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1020 sqft,"9,000"," LB Nagar, NH "
867,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1665 sqft,"25,000", Miyapur (near sairanga theatre 
868,2 BHK Builder Floor,2,Furnished,Bachelors/Family,1000 sqft,"15,000"," Padmarao Nagar, Hyderabad-Karimnagar Highway "
869,3 BHK Apartment,2,Furnished,Family,1550 sqft,"22,000", Anjaneya Nagar Moosapet 
870,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1800 sqft,"10,000", Bandlaguda Jagir 
871,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1500 sqft,"19,000", Kompally 
872,2 BHK Apartment,From Dec '19,Furnished,Bachelors/Family,900 sqft,"30,000", Madhapur-
873,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1800 sqft,"40,000"," Khaja Guda, Outer Ring Road "
874,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1090 sqft,"16,000", Santosh Nagar-Mehdipatnam 
875,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1217 sqft,"22,500"," Narsingi, Outer Ring Road "
876,3 BHK Apartment,2,Semi-Furnished,Family,1660 sqft,"32,000"," Golden Tulip Estate, Kondapur "
877,2 BHK Apartment,2,Furnished,Bachelors,1200 sqft,"35,000"," Kakatiya Hills, Nizampet "
878,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1600 sqft,"22,000"," Moosapet, NH "
879,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1250 sqft,"15,000"," Gudi Malkapur, Mehdipatnam "
880,2 BHK Apartment,1,Furnished,Bachelors/Family,1300 sqft,"35,000"," Camelot Venture, Camelot Layout, Kondapur "
881,2 BHK Apartment,1,Furnished,Bachelors/Family,1300 sqft,"35,000"," Camelot Venture, Camelot Layout, Kondapur "
882,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1050 sqft,"17,000"," Chandanagar, NH "
883,2 BHK Apartment,1,Unfurnished,Bachelors,1200 sqft,"16,500"," Manikonda, Outer Ring Road "
884,2 BHK Apartment,2,Unfurnished,Bachelors,1150 sqft,"10,500", Nizampet 
885,2 BHK Apartment,1,Semi-Furnished,Bachelors,1500 sqft,"8,500"," Beeramguda, Ramachandra Puram, NH "
886,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,2100 sqft,"25,000", Azampura 
887,1 BHK Apartment,1,Unfurnished,Bachelors/Family,East Facing Property,"7,500", Bholakpur
888,2 BHK Apartment,North,Furnished,Bachelors/Family,1200 sqft,"12,000"," Madinaguda, Hafeezpet, NH "
889,2 BHK Apartment,Immediately,Unfurnished,Bachelors,950 sqft,"6,200"," Peerzadiguda, NH "
890,2 BHK Apartment,1,Semi-Furnished,Bachelors,1200 sqft,"18,000"," Ayodhya Nagar, Quthbullapur "
891,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1465 sqft,"21,000", Visakhapatnam 
892,2 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1050 sqft,"14,500", Hyderabad 
893,Studio Apartment,1,Semi-Furnished,Bachelors/Family,NaN,"15,000", Satya Sai Sivaram Heights
894,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,150 sqyrd,"12,000"," Beeramguda, Ramachandra Puram, NH "
895,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1314 sqft,"32,000"," My Home Avatar, Narsingi, Outer Ring Road "
896,2 BHK Apartment,1,Furnished,Bachelors/Family,NaN,"22,000"," LB Nagar, NH "
897,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,"18,000", Hyderabad 
898,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1600 sqft,"30,000"," Uma Nagar, Begumpet "
899,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1050 sqft,"16,000", Nizampet 
900,3 BHK Apartment,East,Unfurnished,Family,1465 sqft,"21,000"," Dhyanish Lake View, Kukatpally, NH "
901,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1100 sqft,"15,000", Old Bowenpally 
902,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,"20,000"," Narsingi, Outer Ring Road "
903,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1200 sqft,"22,000"," Kachiguda, NH "
904,2 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,930 sqft,"12,000"," Anjaneyanagar Colony, Boduppal "
905,2 BHK Apartment,2,Semi-Furnished,Family,900 sqft,"16,000"," Miyapur, NH "
906,2 BHK Builder Floor,From Jan '20,Unfurnished,Bachelors/Family,825 sqft,"20,000"," Chirag Ali Lane, Abids "
907,1 BHK Apartment,From Jan '20,Semi-Furnished,Bachelors/Family,NaN,"10,800"," Beeramguda, Ramachandra Puram, NH "
908,5 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,3000 sqft,"25,000", Mallapur 
909,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1135 sqft,"20,000"," Kukatpally, NH "
910,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1130 sqft,"17,000", Near Bajaj Electronics 
911,3 BHK Apartment,3,Furnished,Bachelors/Family,NaN,"27,000"," Annojiguda, NH "
912,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1000 sqft,"11,000"," Beeramguda, Ramachandra Puram, NH "
913,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,900 sqft,"10,000"," Happy Homes Colony, Hyderabad Expressway "
914,1 BHK Apartment,1,Semi-Furnished,Bachelors/Family,NaN,"6,000"," Peerzadiguda, NH "
915,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1065 sqft,"9,000"," Bachupally, Outer Ring Road "
916,3 BHK Apartment,2,Semi-Furnished,Family,1400 sqft,"11,000", Attapur 
917,2 BHK Apartment,1,Semi-Furnished,Bachelors,1314 sqft,"30,000", Nanakram Guda 
918,1 BHK Builder Floor,NaN,Bachelors/Family,1,NaN,"8,500", Vidya
919,3 BHK Apartment,From Dec '19,Furnished,Bachelors/Family,1675 sqft,"45,000"," Gachibowli, Outer Ring Road "
920,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1000 sqft,"6,500"," Nagarjuna Nagar colony, Secunderabad "
921,2 BHK Builder Floor,1,Unfurnished,Bachelors/Family,950 sqft,"11,500", Toli Chowki 
922,3 BHK Apartment,3,Semi-Furnished,Bachelors,1800 sqft,"35,000"," Shanti Nagar, Secunderabad, NH "
923,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,"10,000", New Dilsukh Nagar Colony 
924,3 BHK Apartment,1,Semi-Furnished,Family,1500 sqft,"17,000"," Kukatpally, NH "
925,2 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1100 sqft,"9,000"," Old Alwal, Secunderabad, Siddipet Road "
926,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1100 sqft,"10,000"," Bachupally, Outer Ring Road "
927,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1314 sqft,"32,000"," My Home Avatar, Narsingi, Outer Ring Road "
928,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1475 sqft,"28,000"," Kukatpally, NH "
929,2 BHK Apartment,2,Furnished,Bachelors/Family,1360 sqft,"30,000"," Kondapur, Kondapur "
930,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1350 sqft,"18,000", Suchitra Circle 
931,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1000 sqft,"11,000", Motinagar 
932,1 BHK Penthouse,Immediately,Unfurnished,Family,NaN,"9,500", Jayaprakash Narayan Nagar
933,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,NaN,"18,000"," Miyapur, NH "
934,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,"11,000", Sainikpuri 
935,2 BHK Penthouse,Immediately,Unfurnished,Bachelors/Family,900 sqft,"7,000"," Beeramguda, Ramachandra Puram, NH "
936,1 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,NaN,"8,000", SBI
937,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,3000 sqft,"35,000", Raidurgam 
938,3 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,2000 sqft,"30,000", Karkhana 
939,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,900 sqft,"8,000"," Beeramguda, Ramachandra Puram, NH "
940,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,950 sqft,"7,000", Trimulgheery 
941,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1500 sqft,"50,000"," Arunodaya Colony, Vanasthalipuram, NH "
942,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,210 sqyrd,"9,000", Gudimalkapur 
943,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1450 sqft,"18,000", Toli Chowki 
944,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,"15,000"," Miyapur, NH "
945,3 BHK Apartment,3,Unfurnished,Family,1565 sqft,"17,000"," Bachupally, Outer Ring Road "
946,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1250 sqft,"15,000", Nizampet 
947,1 BHK Penthouse,Immediately,Unfurnished,Bachelors/Family,NaN,"13,000", Kondapur
948,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1160 sqft,"15,000", Kothapalli 
949,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1900 sqft,"24,000", Opposite to Canara Bank 
950,3 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,1450 sqft,"30,000"," Rethibowli, Mehdipatnam "
951,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1100 sqft,"15,000"," Malkapur, NH "
952,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,122 sqyrd,"9,000"," Kings Colony, Nawab Saheb Kunta "
953,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1050 sqft,"15,000", Gajularamaram 
954,1 BHK Builder Floor,1,Unfurnished,Bachelors/Family,read more,"13,500", Jagruthi
955,1 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,NaN,"13,000", Hyderabad
956,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1090 sqft,"9,500", Karmanghat 
957,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,150 sqyrd,"20,000", Shalibanda 
958,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1000 sqft,"11,000", Arvind Colony 
959,2 BHK Builder Floor,From Jan '20,Semi-Furnished,Bachelors/Family,1150 sqft,"17,000"," Methodist Colony, Begumpet "
960,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1350 sqft,"12,000", Dharam Karan Road 
961,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1050 sqft,"10,000"," Bachupally, Outer Ring Road "
962,3 BHK Apartment,From Jan '20,Semi-Furnished,Bachelors/Family,1595 sqft,"25,000"," Chandanagar, NH "
963,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1650 sqft,"16,500"," Old Malakpet, NH "
964,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1440 sqft,"18,000"," Murad Nagar, Lal Darwaza, Falaknuma Road "
965,3 BHK Apartment,1,Unfurnished,Bachelors,1200 sqft,"15,000"," Saroor Nagar East, Saroornagar, NH "
966,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1073 sqft,"21,000"," Sanath Nagar, NH "
967,1 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,NaN,"5,000", Hayatnagar
968,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1000 sqft,"20,000"," Moti Nagar-Erragadda, NH "
969,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,925 sqft,"20,000", Raj Bhawan Road 
970,2 BHK Apartment,From Jan '20,Unfurnished,Bachelors/Family,900 sqft,"12,500", Nizampet 
971,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1100 sqft,"10,500"," Gudi Malkapur, Mehdipatnam "
972,1 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,NaN,"9,000"," Hafeezpet, NH "
973,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1680 sqft,"18,000"," Chilka Nagar, NH "
974,Studio Apartment,Immediately,Unfurnished,Bachelors/Family,read more,"7,500", Begumpet
975,4 BHK Apartment,1,Semi-Furnished,Bachelors/Family,2000 sqft,"23,000", Begumpet 
976,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1300 sqft,"20,000", Humayun Nagar 
977,3 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1520 sqft,"10,000"," Safilguda, Secunderabad "
978,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1050 sqft,"30,000", Madhapur 
979,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1300 sqft,"16,000", Kompally 
980,3 BHK Apartment,1,Unfurnished,Bachelors/Family,NaN,"15,000", King Koti
981,2 BHK Apartment,North,Semi-Furnished,Bachelors/Family,1200 sqft,"25,000", Begumpet 
982,2 BHK Apartment,1,Furnished,Bachelors,1100 sqft,"16,500"," Pragathi Nagar, Kukatpally "
983,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,"10,500"," Sun City, Bandlaguda, Chevella Road "
984,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1800 sqft,"18,000"," Tellapur, Outer Ring Road "
985,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1297 sqft,"18,000"," Miyapur, NH "
986,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1120 sqft,"15,000", 
987,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,125 sqyrd,"20,000"," Manikonda, Outer Ring Road "
988,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1080 sqft,"13,500", Kothapet 
989,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1720 sqft,"25,000"," Dollar Hills, Manikonda, Outer Ring Road "
990,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1900 sqft,"35,000", Kondapur 
991,3 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1500 sqft,"13,000", Nacharam 
992,1 BHK Apartment,Immediately,Furnished,Bachelors/Family,read more,"30,000", Hitech
993,4 BHK Apartment,Immediately,Furnished,Bachelors/Family,2050 sqft,"45,000"," Srinagar Colony, Old Malakpet, NH "
994,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1140 sqft,"16,000", Shaikpet 
995,2 BHK Builder Floor,East,Semi-Furnished,Bachelors/Family,1100 sqft,"18,000", Mehdipatnam 
996,3 BHK Apartment,2,Furnished,Bachelors/Family,2000 sqft,"40,000"," Anand Nagar-Khairatabad, NH "
997,2 BHK Apartment,2,Unfurnished,Family,780 sqft,"5,500", Malkajgiri 
998,3 BHK Apartment,4,Semi-Furnished,Bachelors,2500 sqft,"40,000", Nanakram Guda 
999,2 BHK Builder Floor,2,Unfurnished,Bachelors,1090 sqft,"30,000", Hyderabad 
1000,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,"10,000"," Upparpally, Hyderabad Expressway "
1001,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1050 sqft,"8,000"," Kistareddypet, Outer Ring Road "
1002,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1834 sqft,"39,000"," My Home Avatar, Narsingi, Outer Ring Road "
1003,2 BHK Apartment,2,Unfurnished,Bachelors,1040 sqft,"20,000", Gudimalkapur 
1004,2 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1200 sqft,"12,000", Old Bowenpally 
1005,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,950 sqft,"9,000", Gollaguda 
1006,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,900 sqft,"16,500", Kondapur RTO 
1007,2 BHK Apartment,2,Unfurnished,Bachelors/Family,NaN,"14,000", Alakapur
1008,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1100 sqft,"16,000", Asif Nagar 
1009,2 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1550 sqft,"25,000"," Prime Bhadradri Towers, Kukatpally, NH "
1010,2 BHK Service Apartment,2,Unfurnished,Bachelors/Family,500 sqyrd,"7,500", Surya Nagar-Quthbullapur 
1011,2 BHK Apartment,1,Unfurnished,Bachelors/Family,880 sqft,"7,000", Bhadurpalle 
1012,2 BHK Apartment,3,Unfurnished,Bachelors/Family,1300 sqft,"20,000", Hyderabad 
1013,Studio Apartment,1,Semi-Furnished,Bachelors/Family,read more,"12,000"," Domalguda, Himayath Nagar, NH "
1014,3 BHK Apartment,1,Furnished,Family,1155 sqft,"11,000"," HMT swarnapuri colony,Miyapur "
1015,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1750 sqft,"26,000"," Nanal nagar, Mehdipatnam "
1016,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1000 sqft,"16,000", Hyderabad 
1017,2 BHK Apartment,1,Unfurnished,Bachelors,1080 sqft,"6,000", Dammaiguda 
1018,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1950 sqft,"20,000"," Gulshan Colony, Qutub Shahi Tombs "
1019,1 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,NaN,"15,000", Anjaneyanagar Colony
1020,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1050 sqft,"25,000", safa complex Sivarampalli 
1021,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Furnished,Bachelors/Family,1100 sqft,"           	 			           	 			15,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Bachupally, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1022,																																								3 BHK Apartment																									            	,							Immediately			            ,Furnished,Bachelors/Family,1600 sqft,"           	 			           	 			40,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Narsingi, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1023,																																								2 BHK Penthouse																									            	,4,Unfurnished,Bachelors/Family,2000 sqft,"           	 			           	 			25,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Hafeezpet, NH  "
1024,																																								1 BHK Builder Floor																									            	,							Immediately			            ,Furnished,Bachelors/Family,NaN,"           	 			           	 			15,000           	 		", 									
1025,																																								3 BHK Apartment																									            	,							Immediately			            ,Furnished,Bachelors/Family,1650 sqft,"           	 			           	 			22,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Bhagya Nagar Colony, Secunderabad 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1026,																																								2 BHK Builder Floor																									            	,2,Unfurnished,Bachelors/Family,1400 sqft,"           	 			           	 			13,500           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Pragathi Nagar, Kukatpally 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1027,																																								3 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1854 sqft,"           	 			           	 			50,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	
1028,																																								3 BHK Apartment																									            	,							Immediately			            ,Furnished,Bachelors/Family,1250 sqft,"           	 			           	 			32,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	KPHB 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
1029,																																								3 BHK Apartment																									            	,West,Semi-Furnished,Bachelors,2400 sqft,"           	 			           	 			24,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Osman Nagar 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1030,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1200 sqft,"           	 			           	 			10,500           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Bandlaguda 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
1031,																																								3 BHK Builder Floor																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1580 sqft,"           	 			           	 			35,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Whitefield 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
1032,																																								3 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1600 sqft,"           	 			           	 			38,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Aziz Bagh Colony, Toli Chowki 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1033,																																								3 BHK Builder Floor																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1100 sqft,"           	 			           	 			45,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Aurora Colony 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
1034,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1130 sqft,"           	 			           	 			8,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Sai Nagar Colony 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
1035,																																								3 BHK Builder Floor																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1427 sqft,"           	 			           	 			25,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Saleem Nagar colony 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
1036,																																								3 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1050 sqft,"           	 			           	 			13,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Dilsukh Nagar, NH  "
1037,																																								2 BHK Apartment																									            	,								From Jan '20							,Semi-Furnished,Bachelors/Family,1050 sqft,"           	 			           	 			14,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	diamond hills Shaikpet 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
1038,																																								2 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1000 sqft,"           	 			           	 			15,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	New Nallakunta 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1039,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors/Family,1250 sqft,"           	 			           	 			20,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Masab Tank 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1040,																																								3 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1400 sqft,"           	 			           	 			20,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Pocharam, NH "
1041,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Bachelors/Family,1500 sqft,"           	 			           	 			20,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Manikonda ou colony 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
1042,																																								2 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1150 sqft,"           	 			           	 			16,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	BHEL 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
1043,																																								2 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1150 sqft,"           	 			           	 			15,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Isnapur, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1044,																																								3 BHK Builder Floor																									            	,NaN,Bachelors/Family,3,1200 sqft,"           	 			           	 			18,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Chilkalguda 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
1045,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1834 sqft,"           	 			           	 			40,000           	 		"," 									 								 				             				             			             				         			            	My Home Avatar,  			            	 	                	 	                		 					            							          							         	Narsingi, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1046,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1340 sqft,"           	 			           	 			33,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Narsingi, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
