,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
655,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,200 sqyrd,"20,000"," Hafeezpet, NH "
656,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1375 sqft,"25,000", Bandlaguda Jagir 
657,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1100 sqft,"13,000"," Sanjana Enclave, Uppal, NH "
658,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1350 sqft,"30,000", Lanco Hills 
659,Apartment,Immediately,Bachelors/Family,2,read more,"27,000", Aasthas Green Homes
660,2 BHK Apartment,1,Unfurnished,Bachelors,1200 sqft,"20,000"," Silicon Ridge, Attapur "
661,3 BHK Apartment,2,Semi-Furnished,Bachelors,1935 sqft,"40,000", Kondapur 
662,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,950 sqft,"9,500"," Bachupally, Outer Ring Road "
663,3 BHK Builder Floor,4,Semi-Furnished,Family,2000 sqft,"24,000"," Aditya Nagar, Hafeezpet "
664,3 BHK Apartment,1,Furnished,Bachelors,1385 sqft,"22,000"," Tellapur, Outer Ring Road "
665,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1490 sqft,"28,000"," Hafeezpet, NH "
666,3 BHK Apartment,1,Furnished,Bachelors/Family,1834 sqft,"45,000"," My Home Avatar, Narsingi, Outer Ring Road "
667,3 BHK Apartment,North,Semi-Furnished,Bachelors/Family,900 sqft,"16,000"," Vidyanagar, Adikmet "
668,2 BHK Apartment,2,Furnished,Bachelors/Family,900 sqft,"35,000"," Red Hills, Lakdikapul, NH "
669,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1100 sqft,"16,000"," Shiva Sai Residency, Attapur "
670,3 BHK Apartment,2,Semi-Furnished,Bachelors,1405 sqft,"16,000"," Upparpally, Hyderabad Expressway "
671,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1300 sqft,"40,000"," Banjara Hills, NH "
672,3 BHK Builder Floor,1,Semi-Furnished,Bachelors,1825 sqft,"30,000"," Narsingi, Outer Ring Road "
673,3 BHK Apartment,2,Furnished,Bachelors/Family,2300 sqft,"40,000", Moti Nagar 
674,3 BHK Apartment,2,Semi-Furnished,Bachelors,1690 sqft,"50,000"," Financial District, Nanakram Guda "
675,3 BHK Apartment,1,Semi-Furnished,Bachelors,1410 sqft,"23,000", Appa junction 
676,3 BHK Apartment,2,Semi-Furnished,Bachelors,1500 sqft,"15,000"," Pragathi Nagar, Kukatpally "
677,3 BHK Apartment,1,Furnished,Bachelors,1800 sqft,"35,000"," Upparpally, Hyderabad Expressway "
678,3 BHK Apartment,From Dec '19,Semi-Furnished,Bachelors/Family,1805 sqft,"40,000"," Aparna CyberLife, Nallagandla, Serilingampally "
679,3 BHK Apartment,North - West,Semi-Furnished,Bachelors/Family,1350 sqft,"20,000"," Vidyanagar, Adikmet "
680,3 BHK Apartment,1,Furnished,Bachelors,2048 sqft,"23,000"," TNR Sulakshna, LB Nagar, NH "
681,3 BHK Apartment,4,Semi-Furnished,Bachelors/Family,2215 sqft,"30,000"," SMR Vinay Harmony County, Appa junction "
